ORD,Site,TempSite,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,,,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
615,CU-AZ-15,,CU,AZ,15,CU-AZ-015,0,,,,,,,,,2175.6,471,2303,0,0,0,,Lower Piedmont,Shallow,,,,Slight-Moderate,,,,,,,Settlement & Agri,,780,1.4,,,,,,,,FALSE,,,VL,L,,,,,,,7,3,7,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,,2176,471,2175600,471000,3153
616,CU-AZ-16,,CU,AZ,16,CU-AZ-016,0,,,,,,,,,2175.43,470,2315,0,0,0,,Lower Piedmont,Deep,,,,Slight,,,,,,,Settlement & Agri,,790,0.9,,,,,,,,FALSE,,,L,,,,,,,,9,5,9,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2175,470,2175430,470000,3154
617,CU-AZ-17,,CU,AZ,17,CU-AZ-017,0,,,,,,,,,2176.15,470,2325,0,0,0,,Lower Piedmont,Medium-Deep,,,,None,,,,,,,Settlement & Agri,,790,2,,,,,,,,FALSE,,,VL,L,,,,,,,10,4,10,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,,2176,470,2176150,470000,3155
618,CU-AZ-18,,CU,AZ,18,CU-AZ-018,0,,,,,,,,,2176.69,470,2305,0,0,0,,Lower Piedmont,Shallow,,,,Slight,,,,,,,Settlement & Agri,,770,0.6,,,,,,,,FALSE,,,LM,,,,,,,,15,6,15,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2177,470,2176690,470000,3156
619,CU-AZ-19,,CU,AZ,19,CU-AZ-019,0,,,,,,,,,2176.62,470,2323,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Slight,,,,,,,Settlement & Agri,,780,0.5,,,,,,,,FALSE,,,LM,,,,,,,,13,5,13,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2177,470,2176620,470000,3157
620,CU-AZ-20,,CU,AZ,20,CU-AZ-020,0,,,,,,,,,2176.22,470,2350,0,0,0,,Middle Piedmont,Medium,,,,Slight,,,,,,,Settlement & Agri,,800,0.5,,,,,,,,FALSE,,,LM,,,,,,,,13,5,13,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2176,470,2176220,470000,3158
621,CU-AZ-21,,CU,AZ,21,CU-AZ-021,0,,,,,,,,,2175.89,469,2340,0,0,0,,Lower Piedmont,Shallow,,,,Slight-Moderate,,,,,,,Settlement & Agri,,810,1,,,,,,,,FALSE,,,L,,,,,,,,10,5,10,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2176,469,2175890,469000,3159
622,CU-AZ-22,,CU,AZ,22,CU-AZ-022,0,,,,,,,,,2175.42,469,2325,0,0,0,,Lower Piedmont,Shallow,,,,Slight,,,,,,,Agricultural,,820,1,,,,,,,,FALSE,,,VL,L,,,,,,,5,2,5,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2175,469,2175420,469000,3160
623,CU-AZ-23,,CU,AZ,23,CU-AZ-023,0,,,,,,,,,2175.24,469,2325,0,0,0,,Lower Piedmont,Shallow,,,,Slight,,,,,,,Agricultural,,830,0.3,,,,,,,,FALSE,,,VL,L,,,,,,,2,1,2,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2175,469,2175240,469000,3161
624,CU-AZ-24,,CU,AZ,24,CU-AZ-024,0,,,,,,,,,2176.42,469,2373,0,0,0,,Middle Piedmont,Shallow-Medium,,,,Moderate,,,,,,,Settlement & Agri,,820,2.5,,,,,,,,FALSE,,,LM,,,,,,,,63,25,63,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2176,469,2176420,469000,3162
625,CU-AZ-25,,CU,AZ,25,CU-AZ-025,0,,,,,,,,,2176.22,469,2365,0,0,0,,Middle Piedmont,Deep,,,,None,,,,,,,Settlement & Agri,,810,0.6,,,,,,,,FALSE,,,LM,,,,,,,,15,6,15,,AD,,Small Hamlet,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,4,,2176,469,2176220,469000,3163
626,CU-AZ-26,,CU,AZ,26,CU-AZ-026,0,,,,,,,,,2177.05,469,2340,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Slight,,,,,,,Agricultural,,810,0.2,,,,,,,,FALSE,,,L,,,,,,,,2,1,2,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2177,469,2177050,469000,3164
627,CU-AZ-27,,CU,AZ,27,CU-AZ-027,0,,,,,,,,,2177.13,469,2335,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Slight,,,,,,,Agricultural,,810,1.1,,,,,,,,FALSE,,,VL,L,,,,,,,5,2,5,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2177,469,2177130,469000,3165
628,CU-AZ-28,,CU,AZ,28,CU-AZ-028,0,,,,,,,,,2176.7,470,2325,0,0,0,,Lower Piedmont,Medium,,,,Slight,,,,,,,Settlement & Agri,,800,0.7,,,,,,,,FALSE,,,L,,,,,,,,7,4,7,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2177,470,2176700,470000,3166
629,CU-AZ-29,,CU,AZ,29,CU-AZ-029,0,,,,,,,,,2176.73,470,2315,0,0,0,,Lower Piedmont,Medium,,,,Slight,,,,,,,Settlement & Agri,,790,0.8,,,,,,,,FALSE,,,L,,,,,,,,8,4,8,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2177,470,2176730,470000,3167
630,CU-AZ-30,,CU,AZ,30,CU-AZ-030,0,,,,,,,,,2177.52,470,2320,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Slight,,,,,,,Settlement & Agri,,770,1.3,,,,,,,,FALSE,,,LM,,,,,,,,33,13,33,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2178,470,2177520,470000,3168
631,CU-AZ-31,,CU,AZ,31,CU-AZ-031,0,,,,,,,,,2177.56,470,2315,0,0,0,,Lower Piedmont,Medium,,,,Moderate,,,,,,,Settlement & Agri,,780,0.6,,,,,,,,FALSE,,,L,,,,,,,,6,3,6,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2178,470,2177560,470000,3169
632,CU-AZ-32,,CU,AZ,32,CU-AZ-032,0,,,,,,,,,2177.88,469,2340,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Slight-Moderate,,,,,,,Settlement & Agri,,800,2.3,,,,,,,,FALSE,,,MH,,,,,,,,30,15,30,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2178,469,2177880,469000,3170
633,CU-AZ-33,,CU,AZ,33,CU-AZ-033,0,,,,,,,,,2179.27,469,2350,0,0,0,,Lower Piedmont,Shallow,,,,Moderate,,,,,,,Grazing,,800,1.5,,,,,,,,FALSE,,,L,,,,,,,,15,8,15,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2179,469,2179270,469000,3171
634,CU-AZ-34,,CU,AZ,34,CU-AZ-034,0,,,,,,,,,2179.06,470,2365,0,0,0,,Middle Piedmont,Medium,,,,None,,,,,,,Agricultural,,780,0.3,,,,,,,,FALSE,,,L,,,,,,,,3,2,3,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2179,470,2179060,470000,3172
635,CU-AZ-35,,CU,AZ,35,CU-AZ-035,0,,,,,,,,,2179.28,470,2370,0,0,0,,Middle Piedmont,Shallow,,,,None,,,,,,,Agricultural,,760,0.6,,,,,,,,FALSE,,,LM,,,,,,,,15,6,15,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,,2179,470,2179280,470000,3173
