Site,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
CH-LT-52,CH,LT,52,CH-LT-052,901052,,Amecameca,Late Toltec,72-1,Earl Prahl,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2116.63,521.95,2460,2460,0,0,1,Amecameca,Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,,,,Agricultural,None or Unspecified,1020,1.9,0,0,0,0,0,,,FALSE,,,LM,,,,,,,,50,25,50,,AD,6,Large hamlet,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,,2117,522,2116630,521950,480
CH-LT-53,CH,LT,53,CH-LT-053,901053,,Amecameca,Late Toltec,72-1,Jeffrey Parsons,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2115.88,525.32,2480,2480,0,0,1,Amecameca,Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,,,,Agricultural,Slight (no difficulty in recognizing site boundaries),1060,0.5,0,0,0,0,0,,,FALSE,,,LM,,,,,,,,20,10,20,,AD,2,Small hamlet or temporary camp,,,0,0,0,1,0,0,,0,0,0,0,0,0,1,3,,2116,525,2115880,525320,481
CH-LT-54,CH,LT,54,CH-LT-054,901054,,Amecameca,Late Toltec,72-1,Earl Prahl,"Iztacclhuatl, Popocatepetl Ozalid (1:25000)",2114.46,528.24,2610,2610,0,0,1,Amecameca,Medium,Medium,,,Moderate,Moderate,,,,,,Grazing and Agriculture,None or Unspecified,1130,0.1,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,Substantial,10,5,10,,AD,2,Small hamlet or temporary camp,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,,2114,528,2114460,528240,482
CH-LT-55,CH,LT,55,CH-LT-055,901055,,Amecameca,Late Toltec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2113.91,510.47,2560,2560,0,0,17,"Upper piedmont, Rugged terrain",Shallow-medium,,Shallow (1-25 cm),Medium,Moderate,Moderate,,,,,,Agricultural,None or Unspecified,1000,1.8,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,,20,10,20,,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,1,0,1,1,3,,2114,510,2113910,510470,483
CH-LT-56,CH,LT,56,CH-LT-056,901056,,,,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2115.08,509.57,2700,2700,0,0,17,"Upper piedmont, Rugged terrain",Very shallow,,Fully eroded,Shallow (1-25 cm),Deep,Deep,,,,,,None,None or Unspecified,1000,0.1,0,0,0,0,0,,,FALSE,Definite,,VL,,,,,,,Unspecified,0,0,0,,AD,12,Questionable,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,,2115,510,2115080,509570,484
CH-LT-57,CH,LT,57,CH-LT-057,901057,,Amecameca,Late Toltec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2118.08,511.32,2560,2560,0,0,17,"Upper piedmont, Rugged terrain",Medium,Medium,,,Moderate,Moderate,,,,,,Grazing and Agriculture,None or Unspecified,800,0.8,1,0,0,1,1,500,,TRUE,,Trace,L,,,,,,,Substantial,10,5,10,,HC,2,Small hamlet or temporary camp,,3,0,0,0,0,0,0,,0,0,0,2,1,1,1,3,,2118,511,2118080,511320,485
CH-LT-58,CH,LT,58,CH-LT-058,901058,,Amecameca,Late Toltec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2122.69,512.53,2265,2265,0,0,9,"Lakeshore Plain, Freshwater, near sloping ground",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,700,8.1,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,,100,50,100,,AD,6,Large hamlet,,,0,1,0,0,0,0,,0,0,0,0,0,0,1,3,,2123,513,2122690,512530,486
CH-LT-59,CH,LT,59,CH-LT-059,901059,,Amecameca,Late Toltec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2123.21,512.78,2260,2260,0,0,8,"Lakeshore Plain, Freshwater, away from sloping ground",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,690,3.5,0,0,0,0,0,,,FALSE,,,L,LM,,,,,,,60,30,60,,AD,6,Large hamlet,,2,0,0,0,0,0,0,,0,0,0,1,0,1,1,3,,2123,513,2123210,512780,487
CH-LT-60,CH,LT,60,CH-LT-060,901060,,,,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2124.08,512.7,2255,2255,0,0,8,"Lakeshore Plain, Freshwater, away from sloping ground",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,690,0.4,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,Substantial,10,5,10,,AD,2,Small hamlet or temporary camp,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,,2124,513,2124080,512700,489
CH-LT-61,CH,LT,61,CH-LT-061,901061,,Amecameca,Late Toltec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2124.44,512.03,2250,2250,0,0,8,"Lakeshore Plain, Freshwater, away from sloping ground",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,690,0.3,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,Substantial,10,5,10,,AD,2,Small hamlet or temporary camp,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,,2124,512,2124440,512030,490
