Site,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
CU-CL-15,CU,CL,15,CU-CL-015,0,,,,,,,2177.64,477,2273,0,0,0,,Deep Soil Alluvium,Shallow-Medium,,,,Slight,,,,,,,Agricultural,,680,10,,,,,,,,FALSE,,,LM,MH,,,,,,,800,400,800,AD,AD,,Lg Nucl Village,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,2,,2178,477,2177640,477000,2171
CU-CL-16,CU,CL,16,CU-CL-016,0,,,,,,,2173.4,475,2278,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Very Slight,,,,,,,Settlement & Agri,,710,5.1,,,,,,,,FALSE,,,M,,,,,,,,255,128,255,AD,AD,,Sm Nucl Village,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,2,,2173,475,2173400,475000,2172
CU-CL-17,CU,CL,17,CU-CL-017,0,,,,,,,2172.77,475,2288,0,0,0,,Lower Piedmont,Medium-Deep,,,,Slight-Moderate,,,,,,,Agricultural,,700,3.2,,,,,,,,FALSE,,,M,,,,,,,,160,80,160,AD,AD,,Sm Nucl Village,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,2,,2173,475,2172770,475000,2173
CU-CL-18,CU,CL,18,CU-CL-018,0,,,,,,,2174.55,477,2270,0,0,0,,Lower Piedmont,Deep,,,,Very Slight,,,,,,,Settlement,,690,3,,,,,,,,FALSE,,,L,,,,,,,,30,15,30,AD,AD,,Hamlet,0,0,1,1,2,1,0,1,1,1,1,1,0,0,1,0,2,,2175,477,2174550,477000,2174
CU-CL-19,CU,CL,19,CU-CL-019,0,,,,,,,2176.72,481,2246,0,0,0,,Deep Soil Alluvium,Deep,,,,Slight,,,,,,,Settlement & Agri,,670,0.1,,,,,,,,FALSE,,,VL,,,,,,,,,,,NA,AD,,Questionable,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,2,,2177,481,2176720,481000,2175
CU-CL-20,CU,CL,20,CU-CL-020,0,,,,,,,2173.75,482,2246,0,0,0,,Deep Soil Alluvium,Deep,,,,None,,,,,,,Settlement & Agri,,670,20,,,,,,,,FALSE,,,LM,,,,,,,,500,200,500,AD,AD,,Sm Nucl Village,0,0,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,,2174,482,2173750,482000,2176
CU-CL-21,CU,CL,21,CU-CL-021,0,,,,,,,2171.99,481,2250,0,0,0,,Deep Soil Alluvium,Deep,,,,None,,,,,,,Settlement,,670,1,,,,,,,,FALSE,,,VL,L,,,,,,,5,2,5,AD,AD,,Small Hamlet,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,2,,2172,481,2171990,481000,2177
CU-CL-22,CU,CL,22,CU-CL-022,0,,,,,,,2173.86,480,2263,0,0,0,,Deep Soil Alluvium,Deep,,,,None,,,,,,,Settlement & Graz,,680,16,,,,,,,,FALSE,,,MH,,,,,,,,1600,800,1600,AD,AD,,Lg Nucl Village,0,0,0,1,2,1,0,1,1,1,1,1,0,0,1,0,2,,2174,480,2173860,480000,2178
CU-CL-23,CU,CL,23,CU-CL-023,0,,,,,,,2172.52,478,2295,0,0,0,,Lower Piedmont,Deep,,,,Slight,,,,,,,Settlement,,690,2,,,,,,,,FALSE,,,L,,,,,,,,20,10,20,AD,AD,,Small Hamlet,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,,2173,478,2172520,478000,2179
CU-CL-24,CU,CL,24,CU-CL-024,0,,,,,,,2171.01,479,2288,0,0,0,,Lower Piedmont,Shallow-Medium,,,,None,,,,,,,Agricultural,,690,4,,,,,,,,FALSE,,,L,,,,,,,,40,20,40,AD,AD,,Hamlet,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,2,,2171,479,2171010,479000,2180
CU-CL-25,CU,CL,25,CU-CL-025,0,,,,,,,2168.92,475,2355,0,0,0,,Middle Piedmont,Medium-Deep,,,,Slight,,,,,,,Agricultural,,740,0.1,,,,,,,,FALSE,,,VL,,,,,,,,,,,NA,AD,,Questionable,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,2,,2169,475,2168920,475000,2181
CU-CL-26,CU,CL,26,CU-CL-026,0,,,,,,,2169.18,479,2270,0,0,0,,Lower Piedmont,Medium-Deep,,,,Very Slight,,,,,,,Settlement & Agri,,690,2.5,,,,,,,,FALSE,,,LM,M,,,,,,,88,35,88,AD,AD,,Hamlet,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,2,,2169,479,2169180,479000,2182
CU-CL-27,CU,CL,27,CU-CL-027,0,,,,,,,2166.91,483,2285,0,0,0,,Lower Piedmont,Deep,,,,None,,,,,,,Agricultural,,670,1.5,,,,,,,,FALSE,,,L,,,,,,,,15,8,15,AD,AD,,Small Hamlet,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2,,2167,483,2166910,483000,2183
CU-CL-28,CU,CL,28,CU-CL-028,0,,,,,,,2168.29,484,2273,0,0,0,,Lower Piedmont,Shallow,,,,None,,,,,,,Agricultural,,660,10.8,,,,,,,,FALSE,,,M,,,,,,,,540,270,540,AD,AD,,Lg Nucl Village,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,2,,2168,484,2168290,484000,2184
CU-CL-29,CU,CL,29,CU-CL-029,0,,,,,,,2169.5,485,2267,0,0,0,,Lower Piedmont,Medium-Deep,,,,None,,,,,,,Settlement & Agri,,660,23.6,2,,,,,,,FALSE,,,LM,M,MH,,,,,,1180,590,1180,AD,AD,,Provincial Ctr,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,2,,2170,485,2169500,485000,2185
CU-CL-30,CU,CL,30,CU-CL-030,0,,,,,,,2170,486,2255,0,0,0,,Lower Piedmont,Medium-Deep,,,,Very Slight,,,,,,,Settlement & Agri,,650,4.5,,,,,,,,FALSE,,,M,,,,,,,,226,113,226,AD,AD,,Sm Nucl Village,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,2,,2170,486,2170000,486000,2186
