Site,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
TE-AZ-14,TE,AZ,14,TE-AZ-014,0,,,,,,,2177.42,509,2315,0,0,0,,Lower Piedmont,Very Shallow,,,,Deep,,,,,,,Agricultural,,540,26,12,,,,,3675,,TRUE,,,,,,,,,,,105,0,0,,HC,,Sm Disp Village,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,,2177,509,2177420,509000,3645
TE-AZ-15,TE,AZ,15,TE-AZ-015,0,,,,,,,2178.69,509,2340,0,0,0,,Lower Piedmont,Very Shallow,,,,Deep,,,,,,,Grazing & Agri,,540,8,5,,,,,3125,,TRUE,,,,,,,,,,,49,0,0,,HC,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2179,509,2178690,509000,3646
TE-AZ-16,TE,AZ,16,TE-AZ-016,0,,,,,,,2178.88,509,2322,0,0,0,,Lower Piedmont,Shallow,,,,Moderate-Deep,,,,,,,Grazing & Agri,,540,17,14,,,,,5600,,TRUE,,,,,,,,,,,98,0,0,,HC,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2179,509,2178880,509000,3647
TE-AZ-17,TE,AZ,17,TE-AZ-017,0,,,,,,,2178.17,509,2328,0,0,0,,Lower Piedmont,Very Shallow,,,,Moderate-Deep,,,,,,,Grazing & Agri,,540,34,9,,,,,2756.25,,FALSE,,,,,,,,,,,210,0,0,,AD,,Sm Disp Village,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,,2178,509,2178170,509000,3648
TE-AZ-18,TE,AZ,18,TE-AZ-018,0,,,,,,,2178.88,508,2316,0,0,0,,Lower Piedmont,Shallow,,,,Moderate-Deep,,,,,,,"Graz, Agri, & Set",,550,28,25,,,,,31025,,TRUE,,,,,,,,,,,245,0,0,,HC,,Sm Disp Village,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,,2179,508,2178880,508000,3649
TE-AZ-19,TE,AZ,19,TE-AZ-019,0,,,,,,,2178.72,510,2314,0,0,0,,Lower Piedmont,Very Shallow,,,,Moderate-Deep,,,,,,,Grazing & Agri,,540,26,8,,,,,3975,,FALSE,,,,,,,,,,,,0,0,,AD,,Sm Disp Village,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,,2179,510,2178720,510000,3650
TE-AZ-20,TE,AZ,20,TE-AZ-020,0,,,,,,,2178.99,510,2308,0,0,0,,Lower Piedmont,Very Shallow,,,,Deep,,,,,,,Grazing & Agri,,550,0.9,,,,,,,,FALSE,,,,,,,,,,,,0,0,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2179,510,2178990,510000,3651
TE-AZ-21,TE,AZ,21,TE-AZ-021,0,,,,,,,2179.42,509,2330,0,0,0,,Lower Piedmont,Shallow,,,,Moderate-Deep,,,,,,,"Graz, Agri, & Qua",,550,11,3,,,,,2625,,FALSE,,,,,,,,,,,70,0,0,,AD,,Hamlet,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,4,,2179,509,2179420,509000,3652
TE-AZ-23,TE,AZ,23,TE-AZ-023,0,,,,,,,2177.17,511,2309,0,0,0,,Lower Piedmont,Very Shallow,,,,Moderate-Deep,,,,,,,Grazing & Agri,,540,63,,,,,,,,FALSE,,,,,,,,,,,152,0,0,,AD,,Sm Disp Village,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,4,,2177,511,2177170,511000,3653
TE-AZ-24,TE,AZ,24,TE-AZ-024,0,,,,,,,2178.02,510,2324,0,0,0,,Lower Piedmont,Very Shallow,,,,Moderate-Deep,,,,,,,Grazing & Agri,,540,45,,,,,,,,FALSE,,,,,,,,,,,89,0,0,,AD,,Hamlet,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,4,,2178,510,2178020,510000,3654
TE-AZ-25,TE,AZ,25,TE-AZ-025,0,,,,,,,2177.51,508,2325,0,0,0,,Lower Piedmont,Very Shallow,,,,Moderate-Deep,,,,,,,"Graz, Agri, & Set",,540,37,19,,,,,11875,,TRUE,,,,,,,,,,,210,0,0,,AD,,Sm Disp Village,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,4,,2178,508,2177510,508000,3655
TE-AZ-26,TE,AZ,26,TE-AZ-026,0,,,,,,,2169.55,513,2318,0,0,0,,Lower Piedmont,Very Shallow,,,,Deep,,,,,,,Grazing & Agri,,620,22,6,,,,,5400,,FALSE,,,,,,,,,,,105,0,0,,AD,,Sm Disp Village,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,,2170,513,2169550,513000,3656
TE-AZ-27,TE,AZ,27,TE-AZ-027,0,,,,,,,2168.89,513,2309,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Moderate-Deep,,,,,,,Grazing & Agri,,620,35,22,,,,,11644,,TRUE,,,,,,,,,,,245,0,0,,AD,,Sm Disp Village,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,,2169,513,2168890,513000,3657
TE-AZ-28,TE,AZ,28,TE-AZ-028,0,,,,,,,2169.01,514,2340,0,0,0,,Lower Piedmont,Shallow,,,,Moderate-Deep,,,,,,,Grazing & Agri,,620,28,16,,,,,17750,,TRUE,,,,,,,,,,,175,0,0,,AD,,Sm Disp Village,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,,2169,514,2169010,514000,3658
TE-AZ-29,TE,AZ,29,TE-AZ-029,0,,,,,,,2168.43,514,2360,0,0,0,,Lower Piedmont,Shallow,,,,Moderate-Deep,,,,,,,Grazing & Agri,,620,44,37,,,,,11331.25,,TRUE,,,,,,,,,,,350,0,0,,HC,,Sm Disp Village,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,,2168,514,2168430,514000,3659
TE-AZ-30,TE,AZ,30,TE-AZ-030,0,,,,,,,2167.75,514,2348,0,0,0,,Middle Piedmont,Very Shallow,,,,Deep,,,,,,,Grazing,,630,8,2,,,,,1250,,FALSE,,,,,,,,,,,42,0,0,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,,2168,514,2167750,514000,3660
TE-AZ-31,TE,AZ,31,TE-AZ-031,0,,,,,,,2168.19,513,2315,0,0,0,,Lower Piedmont,Very Shallow,,,,Moderate-Deep,,,,,,,Grazing & Agri,,620,11,3,,,,,1518.75,,TRUE,,,,,,,,,,,42,0,0,,HC,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2168,513,2168190,513000,3661
TE-AZ-32,TE,AZ,32,TE-AZ-032,0,,,,,,,2167.64,513,2333,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Moderate-Deep,,,,,,,Grazing & Agri,,620,22,9,,,,,3600,,TRUE,,,,,,,,,,,105,0,0,,AD,,Sm Disp Village,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,,2168,513,2167640,513000,3662
TE-AZ-33,TE,AZ,33,TE-AZ-033,0,,,,,,,2167.95,513,2360,0,0,0,,Middle Piedmont,Shallow,,,,Moderate-Deep,,,,,,,Grazing,,620,0.8,,,,,,,,FALSE,,,,,,,,,,,0,0,0,,AD,,Ceremonial Ctr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2168,513,2167950,513000,3663
TE-AZ-34,TE,AZ,34,TE-AZ-034,0,Tezoyuca,,,,,,2166.78,512,2315,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Moderate-deep,,,,,,,"Graz, Agri, & Set",,630,83,9,,,,,5625,,FALSE,,,,,,,,,,,280,0,0,,AD,,Sm Disp Village,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4,,2167,512,2166780,512000,3664
TE-AZ-36,TE,AZ,36,TE-AZ-036,0,,,,,,,2174.9,528,2445,0,0,0,,Middle Piedmont,Very Shallow,,,,Moderate-Deep,,,,,,,Grazing & Agri,,640,72,32,,,,,20000,,TRUE,,,,,,,,,,,350,0,0,,HC,,Sm Disp Village,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,4,,2175,528,2174900,528000,3665
TE-AZ-37,TE,AZ,37,TE-AZ-037,0,,,,,,,2173.99,528,2495,0,0,0,,Upper Piedmont,Very Shallow,,,,Moderate-Deep,,,,,,,"Graz, Agri, & Set",,650,102,17,,,,,5881.25,,FALSE,,,,,,,,,,,420,0,0,,AD,,Sm Disp Village,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,,2174,528,2173990,528000,3666
