Name,MexState,Source,Year,LonX,LatY,OBJECTID,it_ID,it_GZ_ID,Region,Type,YearStart,YearEnd,it_Etnia_principal,GZ_label,GZ_partido_generico,GZ_provincia_generica,GZ_categoria_especial,Country,NameFull,NameVariants,NameModernDiff,Evang,ImportanciaRank,Notes,PopTotal,1782,Tributarios_Indios,HypotheticalTributarios_NonIndios,HypotheticalTributarios_Total,Eclesiasticos,Pop_Blancos,Casados_Blancos,Solteros_Blancos,MenM_Blancos,Casadas_Blancos,Solteras_Blancos,MenF_Blancos,Viudos_Blancos,Viudas_Blancos,Fam_Blancos,Pop_Indios,Casados_Indios,Solteros_Indios,MenM_Indios,Casadas_Indios,Solteras_Indios,MenF_Indios,Viudos_Indios,Viudas_Indios,Fam_Indios,Pop_Indefinidos,Casados_Indefinidos,Solteros_Indefinidos,MenM_Indefinidos,Casadas_Indefinidos,Solteras_Indefinidos,MenF_Indefinidos,Viudos_Indefinidos,Viudas_Indefinidos,Fam_Indefinidos,Pop_Mestizos,Casados_Mestizos,Solteros_Mestizos,MenM_Mestizos,Casadas_Mestizos,Solteras_Mestizos,MenF_Mestizos,Viudos_Mestizos,Viudas_Mestizos,Fam_Mestizos,Pop_Castas,Casados_Castas,Solteros_Castas,MenM_Castas,Casadas_Castas,Solteras_Castas,MenF_Castas,Viudos_Castas,Viudas_Castas,Fam_Castas,Pop_Negros,Casados_Negros,Solteros_Negros,MenM_Negros,Casadas_Negros,Solteras_Negros,MenF_Negros,Viudos_Negros,Viudas_Negros,Fam_Negros,Pop_NMCI,Casados_NMCI,Solteros_NMCI,MenM_NMCI,Casadas_NMCI,Solteras_NMCI,MenF_NMCI,Viudos_NMCI,Viudas_NMCI,Fam_NMCI,Pop_NonIndios,Casados_NonIndios,Solteros_NonIndios,MenM_NonIndios,Casadas_NonIndios,Solteras_NonIndios,MenF_NonIndios,Viudos_NonIndios,Viudas_NonIndios,Fam_NonIndios,Pop_Total,Casados_Total,Solteros_Total,MenM_Total,Casadas_Total,Solteras_Total,MenF_Total,Viudos_Total,Viudas_Total,Fam_Total
Lerma,Mexico,sanchez-santiro,1778,-99.511944,19.284722,1164,1193,1000092,Nueva Espana,Curato,1777,1779,,Lerma,Lerma,Mexico,Ciudad,Mexico,Santa Clara Lerma,None,None,Santa Clara,3,,5481,,1614.5,507,2121.5,3,825,200,96,91,200,96,90,10,39,200,4162,1395,81,466,1395,79,467,66,213,1395,0,0,0,0,0,0,0,0,0,0,426,81,50,56,81,77,56,6,19,81,68,25,2,4,25,1,5,2,4,25,0,0,0,0,0,0,0,0,0,0,494,106,52,60,106,78,61,8,23,106,1319,306,148,151,306,174,151,18,62,306,5481,1701,229,617,1701,253,618,84,275,1701
Villa de Ixtlahuaca,Mexico,sanchez-santiro,1778,-99.766944,19.568889,1165,1194,1000091,Nueva Espana,Curato,1777,1779,,Ixtlahuaca,Ixtlahuaca,Mexico,Pueblo de indios,Mexico,San Francisco Ixtlahuaca,None,None,San Francisco,5,,7249,,1265.5,212,1477.5,6,336,35,43,65,36,66,66,6,13,40,6529,929,180,1998,930,96,1999,76,321,960,0,0,0,0,0,0,0,0,0,0,298,33,33,64,34,49,63,7,15,38,86,8,11,15,7,17,16,3,9,8,0,0,0,0,0,0,0,0,0,0,384,41,44,79,41,66,79,10,24,46,720,76,87,144,77,132,145,16,37,86,7249,1005,267,2142,1007,228,2144,92,358,1046
Ixmiquilpan,Hidalgo,sanchez-santiro,1778,-99.218611,20.482222,1166,1195,1000090,Nueva Espana,Curato,1777,1779,,Ixmiquilpan,Ixmiquilpan,Mexico,Pueblo de indios,Mexico,San Nicolas Ixmiquilpan,None,None,San Nicolas,5,,7911,,2332.5,594.5,2927,5,604,93,73,78,94,134,78,17,32,137,6196,1419,666,766,1419,638,765,194,329,1555,0,0,0,0,0,0,0,0,0,0,877,160,106,129,160,134,130,23,35,85,234,23,28,52,24,43,52,5,7,39,0,0,0,0,0,0,0,0,0,0,1111,183,134,181,184,177,182,28,42,124,1715,276,207,259,278,311,260,45,74,261,7911,1695,873,1025,1697,949,1025,239,403,1816
Huichiapan,Hidalgo,sanchez-santiro,1778,-99.648889,20.373333,1167,1196,1000089,Nueva Espana,Curato,1777,1779,,Huichapan,Huichapan,Mexico,Pueblo de indios,Mexico,San Mateo Huichapan,None,None,San Mateo,5,,11341,,1904,1441.5,3345.5,8,3313,554,332,611,554,476,612,44,122,701,6475,1280,461,1334,1279,428,1334,66,293,1722,0,0,0,0,0,0,0,0,0,0,416,59,32,108,59,38,108,4,8,87,1137,142,104,268,142,182,268,8,23,286,0,0,0,0,0,0,0,0,0,0,1553,201,136,376,201,220,376,12,31,373,4866,755,468,987,755,696,988,56,153,1074,11341,2035,929,2321,2034,1124,2322,122,446,2796
Huejutla,Hidalgo,sanchez-santiro,1778,-98.42,21.140278,1168,1197,1000088,Nueva Espana,Curato,1777,1779,,Huejutla,Huejutla,Mexico,Pueblo de indios,Mexico,San Agustin Huejutla,Real de Huejutla|,None,San Agustin,5,,7620,,1815.5,944,2759.5,2,472,88,59,76,88,54,77,8,20,110,5475,1510,201,922,1510,180,922,90,140,1513,0,0,0,0,0,0,0,0,0,0,72,12,11,12,12,8,12,1,4,17,1601,113,1092,39,113,152,39,10,43,170,0,0,0,0,0,0,0,0,0,0,1673,125,1103,51,125,160,51,11,47,187,2145,213,1162,127,213,214,128,19,67,297,7620,1723,1363,1049,1723,394,1050,109,207,1810
San Cristobal Ecatepec,Mexico,sanchez-santiro,1778,-99.06,19.609722,1169,1198,1000087,Nueva Espana,Curato,1777,1779,,Ecatepec,Ecatepec,Mexico,Pueblo de indios,Mexico,San Cristobal Ecatepec,None,None,San Cristobal,5,,5527,,1245,463.5,1708.5,2,536,94,59,106,94,66,106,3,6,108,3990,768,291,750,768,310,750,95,258,1158,0,0,0,0,0,0,0,0,0,0,667,100,92,117,100,93,117,17,31,161,334,57,26,81,57,22,81,5,5,69,0,0,0,0,0,0,0,0,0,0,1001,157,118,198,157,115,198,22,36,230,1537,251,177,304,251,181,304,25,42,338,5527,1019,468,1054,1019,491,1054,120,300,1496
Cuernavaca,Morelos,sanchez-santiro,1778,-99.234167,18.918611,1216,1244,1000086,Nueva Espana,Curato,1777,1779,,Cuernavaca,Cuernavaca,Mexico,Villa,Mexico,Asuncion Cuernavaca,Cuauhnahuac,None,Asuncion,5,,7756,,1585,897.5,2482.5,6,557,77,75,90,77,96,90,9,37,120,5071,1134,288,951,1134,218,950,108,288,1428,0,0,0,0,0,0,0,0,0,0,1207,226,140,201,226,137,202,19,56,300,921,171,121,151,171,96,150,16,45,190,0,0,0,0,0,0,0,0,0,0,2128,397,261,352,397,233,352,35,101,490,2685,474,336,442,474,329,442,44,138,610,7756,1608,624,1393,1608,547,1392,152,426,2038
Cuautla de Amilpas,Morelos,sanchez-santiro,1778,-98.954722,18.811667,1218,1246,1000085,Nueva Espana,Curato,1777,1779,,Cuautla,Cuautla-Amilpas,Mexico,Pueblo de indios,Mexico,Santiago Cuautla,None,None,Santiago,5,,4005,,357,986.5,1343.5,0,447,93,64,49,93,61,48,8,31,103,998,247,90,142,247,64,142,15,51,366,0,0,0,0,0,0,0,0,0,0,972,207,113,145,208,93,144,12,50,267,1482,175,228,296,175,209,296,21,82,417,106,13,16,27,13,6,28,3,0,23,2560,395,357,468,396,308,468,36,132,707,3007,488,421,517,489,369,516,44,163,810,4005,735,511,659,736,433,658,59,214,1176
Cuautitlan,Mexico,sanchez-santiro,1778,-99.20754002,19.66221516,1223,1251,1000084,Nueva Espana,Curato,1777,1779,,Cuautitlan,Cuautitlan,Mexico,Pueblo de indios,Mexico,San Buenaventura Cuautitlan,None,None,San Buenaventura,5,,7940,,2101.5,633,2734.5,4,527,91,89,58,92,93,59,18,23,115,6102,1380,595,950,1380,555,949,104,189,1284,0,0,0,0,0,0,0,0,0,0,1054,199,128,174,199,115,174,19,46,220,257,41,36,51,41,28,51,4,5,57,0,0,0,0,0,0,0,0,0,0,1311,240,164,225,240,143,225,23,51,277,1838,331,253,283,332,236,284,41,74,392,7940,1711,848,1233,1712,791,1233,145,263,1676
Coyoacan,Ciudad de Mexico,sanchez-santiro,1778,-99.161667,19.35,1227,1255,1000083,Nueva Espana,Curato,1777,1779,,Coyoacan,Coyoacan,Mexico,Pueblo de indios,Mexico,San Juan Bautista Coyoacan,None,None,San Juan Bautista,5,,3726,,841.5,529,1370.5,5,420,49,70,59,49,80,59,30,19,81,2326,446,383,322,446,298,321,90,20,660,0,0,0,0,0,0,0,0,0,0,523,93,84,54,93,92,54,34,19,130,457,36,40,55,37,45,55,20,169,96,0,0,0,0,0,0,0,0,0,0,980,129,124,109,130,137,109,54,188,226,1400,178,194,168,179,217,168,84,207,307,3726,624,577,490,625,515,489,174,227,967
