Name,MexState,Source,Year,LonX,LatY,OBJECTID,it_ID,it_GZ_ID,Region,Type,YearStart,YearEnd,it_Etnia_principal,GZ_label,GZ_partido_generico,GZ_provincia_generica,GZ_categoria_especial,Country,NameFull,NameVariants,NameModernDiff,Evang,ImportanciaRank,Notes,PopTotal,1782,Tributarios_Indios,HypotheticalTributarios_NonIndios,HypotheticalTributarios_Total,Eclesiasticos,Pop_Blancos,Casados_Blancos,Solteros_Blancos,MenM_Blancos,Casadas_Blancos,Solteras_Blancos,MenF_Blancos,Viudos_Blancos,Viudas_Blancos,Fam_Blancos,Pop_Indios,Casados_Indios,Solteros_Indios,MenM_Indios,Casadas_Indios,Solteras_Indios,MenF_Indios,Viudos_Indios,Viudas_Indios,Fam_Indios,Pop_Indefinidos,Casados_Indefinidos,Solteros_Indefinidos,MenM_Indefinidos,Casadas_Indefinidos,Solteras_Indefinidos,MenF_Indefinidos,Viudos_Indefinidos,Viudas_Indefinidos,Fam_Indefinidos,Pop_Mestizos,Casados_Mestizos,Solteros_Mestizos,MenM_Mestizos,Casadas_Mestizos,Solteras_Mestizos,MenF_Mestizos,Viudos_Mestizos,Viudas_Mestizos,Fam_Mestizos,Pop_Castas,Casados_Castas,Solteros_Castas,MenM_Castas,Casadas_Castas,Solteras_Castas,MenF_Castas,Viudos_Castas,Viudas_Castas,Fam_Castas,Pop_Negros,Casados_Negros,Solteros_Negros,MenM_Negros,Casadas_Negros,Solteras_Negros,MenF_Negros,Viudos_Negros,Viudas_Negros,Fam_Negros,Pop_NMCI,Casados_NMCI,Solteros_NMCI,MenM_NMCI,Casadas_NMCI,Solteras_NMCI,MenF_NMCI,Viudos_NMCI,Viudas_NMCI,Fam_NMCI,Pop_NonIndios,Casados_NonIndios,Solteros_NonIndios,MenM_NonIndios,Casadas_NonIndios,Solteras_NonIndios,MenF_NonIndios,Viudos_NonIndios,Viudas_NonIndios,Fam_NonIndios,Pop_Total,Casados_Total,Solteros_Total,MenM_Total,Casadas_Total,Solteras_Total,MenF_Total,Viudos_Total,Viudas_Total,Fam_Total
Comitan,Chiapas,lujan-informes,1774,-92.134167,16.251111,1323,1354,2000011,Guanajuato,Nucleo,1774,1774,Mixto,Comitan,Ciudad Real,Chiapas,Pueblo de indios,Mexico,Santo Domingo Comitan,None,None,Santo Domingo,5,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",448,,189,33,222,4,4,,,,,,,,,,378,50,112,,50,116,,20,30,,0,,,,,,,,,,66,0,0,,0,0,,30,36,,0,,,,,,,,,,,,,,,,,,,,66,0,0,,0,0,,30,36,,70,0,0,,0,0,,30,36,,448,50,112,,50,116,,50,66,
San Miguel Guistan,Chiapas,lujan-informes,1774,-92.452778,16.71,1325,1356,2000012,Guanajuato,Nucleo,1774,1774,,Huistan,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Miguel Huistan,None,None,San Miguel,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",320,,160,0,160,0,0,,,,,,,,,,320,80,50,,80,60,,20,30,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,320,80,50,,80,60,,20,30,
Istacomitan,Chiapas,lujan-informes,1774,-93.095,17.430278,1326,1357,2000013,Guanajuato,Nucleo,1774,1774,Zoque,Ixtacomitan,Tuxtla,Chiapas,Pueblo de indios,Mexico,Ixtacomitan,None,None,None,5,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",127,,62.5,0,62.5,1,1,,,,,,,,,,126,30,22,,31,22,,,21,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,1,0,0,,0,0,,0,0,,127,30,22,,31,22,,0,21,
Ococingo,Chiapas,lujan-informes,1774,-92.096111,16.907222,1328,1359,2000014,Guanajuato,Nucleo,1774,1774,,Ocosingo,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Jacinto Ocosingo,None,None,San Jacinto,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",219,,105,3.5,108.5,2,2,,,,,,,,,,210,10,60,,10,80,,20,30,,0,,,,,,,,,,7,0,0,,0,0,,3,4,,0,,,,,,,,,,,,,,,,,,,,7,0,0,,0,0,,3,4,,9,0,0,,0,0,,3,4,,219,10,60,,10,80,,23,34,
Palenque,Chiapas,lujan-informes,1774,-91.982222,17.509167,1330,1361,2000015,Guanajuato,Nucleo,1774,1774,Chol,Palenque,Ciudad Real,Chiapas,Pueblo de indios,Mexico,Santo Domingo Palenque,None,None,Santo Domingo,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",79,,39.5,0,39.5,0,0,,,,,,,,,,79,15,10,,15,15,,20,4,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,79,15,10,,15,15,,20,4,
San Andres Istacolot,Chiapas,lujan-informes,1774,-92.713333,16.883611,1332,1363,2000016,Guanajuato,Nucleo,1774,1774,Tzotzil,San Andres,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Andres,San Andres Istacolot,Larrainzar,San Andres,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",385,,128.5,64.5,193,0,0,,,,,,,,,,256,68,32,,67,43,,6,40,,0,,,,,,,,,,129,33,25,,33,38,,0,0,,0,,,,,,,,,,,,,,,,,,,,129,33,25,,33,38,,0,0,,129,33,25,,33,38,,0,0,,385,101,57,,100,81,,6,40,
Simojovel,Chiapas,lujan-informes,1774,-92.714167,17.14,1333,1364,2000017,Guanajuato,Nucleo,1774,1774,Tzotzil,Simojovel,Ciudad Real,Chiapas,Pueblo de indios,Mexico,Simojovel,None,None,None,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",145,,72,0,72,0,0,,,,,,,,,,145,28,20,,29,17,,13,38,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,145,28,20,,29,17,,13,38,
San Mateo Tila,Chiapas,lujan-informes,1774,-92.425556,17.300278,1336,1367,2000020,Guanajuato,Nucleo,1774,1774,,Tila,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Mateo Tila,None,None,San Mateo,5,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",642,,320,0,320,2,2,,,,,,,,,,640,150,100,,150,120,,40,80,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,2,0,0,,0,0,,0,0,,642,150,100,,150,120,,40,80,
Tuxtla,Chiapas,lujan-informes,1774,-93.116667,16.752778,1339,1370,2000022,Guanajuato,Nucleo,1774,1774,Zoque,Tuxtla,Tuxtla,Chiapas,Pueblo de indios,Mexico,San Marcos Tuxtla,Tustla| Tusta|,None,San Marcos,5,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",670,,311.5,23,334.5,1,1,,,,,,,,,,623,81,140,,81,133,,13,175,,0,,,,,,,,,,46,0,0,,0,0,,20,26,,0,,,,,,,,,,,,,,,,,,,,46,0,0,,0,0,,20,26,,47,0,0,,0,0,,20,26,,670,81,140,,81,133,,33,201,
Acala,Chiapas,lujan-informes,1774,-92.805556,16.556111,1341,1372,2000024,Guanajuato,Nucleo,1774,1774,Chiapaneca,Acala,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Pablo Acala,None,None,San Pablo,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",89,,44,0,44,1,1,,,,,,,,,,88,12,17,,12,20,,2,25,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,1,0,0,,0,0,,0,0,,89,12,17,,12,20,,2,25,
Aguacatenango,Chiapas,lujan-informes,1774,-92.407778,16.472222,1343,1374,2000026,Guanajuato,Nucleo,1774,1774,,Aguacatenango,Ciudad Real,Chiapas,Pueblo de indios,Mexico,Aguacatenango,None,None,None,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",60,,30.5,0,30.5,0,0,,,,,,,,,,60,17,7,,16,6,,4,10,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,60,17,7,,16,6,,4,10,
Amatan,Chiapas,lujan-informes,1774,-92.818056,17.373611,1344,1375,2000027,Guanajuato,Nucleo,1774,1774,Zoque,Amatan,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Lorenzo Amatan,None,None,San Lorenzo,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",100,,50,0,50,0,0,,,,,,,,,,100,30,14,,30,19,,1,6,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,100,30,14,,30,19,,1,6,
Amatenango,Chiapas,lujan-informes,1774,-92.434722,16.527222,1345,1376,2000028,Guanajuato,Nucleo,1774,1774,,Amatenango,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Francisco Amatenango,None,None,San Francisco,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",182,,91,0,91,0,0,,,,,,,,,,182,54,15,,54,12,,8,39,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,182,54,15,,54,12,,8,39,
Bachajon,Chiapas,lujan-informes,1774,-92.188056,17.040278,1346,1377,2000030,Guanajuato,Nucleo,1774,1774,,Bachajon,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Jeronimo Bachajon,None,None,San Jeronimo,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",204,,102,0,102,0,0,,,,,,,,,,204,50,40,,50,40,,10,14,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,204,50,40,,50,40,,10,14,
Cancuq,Chiapas,lujan-informes,1774,-92.370833,16.891667,1347,1378,2000037,Guanajuato,Nucleo,1774,1774,,Cancuc,Ciudad Real,Chiapas,Pueblo de indios,Mexico,Presentacion Cancuc,None,None,Presentacion,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",311,,155,0,155,1,1,,,,,,,,,,310,100,40,,100,50,,8,12,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,1,0,0,,0,0,,0,0,,311,100,40,,100,50,,8,12,
Chamula,Chiapas,lujan-informes,1774,-92.689167,16.7875,1349,1380,2000039,Guanajuato,Nucleo,1774,1774,Tzotzil,Chamula,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Juan Chamula,None,None,San Juan,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",934,,457,8.5,465.5,2,2,,,,,,,,,,915,260,110,,261,181,,20,83,,0,,,,,,,,,,17,2,6,,2,7,,0,0,,0,,,,,,,,,,,,,,,,,,,,17,2,6,,2,7,,0,0,,19,2,6,,2,7,,0,0,,934,262,116,,263,188,,20,83,
Chapultenango,Chiapas,lujan-informes,1774,-93.129167,17.338889,1351,1382,2000040,Guanajuato,Nucleo,1774,1774,Zoque,Chapultenango,Tuxtla,Chiapas,Pueblo de indios,Mexico,Concepcion Chapultenango,None,None,Concepcion,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",118,,58,0,58,1,1,,,,,,,,,,117,22,23,,23,18,,2,29,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,1,0,0,,0,0,,0,0,,118,22,23,,23,18,,2,29,
San Pedro Chenalo,Chiapas,lujan-informes,1774,-92.625833,16.893611,1353,1384,2000041,Guanajuato,Nucleo,1774,1774,Tzotzil,Chenalho,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Pedro Chenalho,None,None,San Pedro,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",873,,139,297.5,436.5,0,0,,,,,,,,,,278,100,18,,100,21,,19,20,,0,,,,,,,,,,595,150,120,,150,175,,0,0,,0,,,,,,,,,,,,,,,,,,,,595,150,120,,150,175,,0,0,,595,150,120,,150,175,,0,0,,873,250,138,,250,196,,19,20,
Chiapa,Chiapas,lujan-informes,1774,-93.013889,16.706944,1354,1385,2000042,Guanajuato,Nucleo,1774,1774,Chiapaneca,Chiapa de Indios,Tuxtla,Chiapas,Pueblo de indios,Mexico,Santo Domingo Chiapa,None,Chiapa de Corzo,Santo Domingo,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",333,,163,0,163,7,7,,,,,,,,,,326,48,56,,48,96,,5,73,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,7,0,0,,0,0,,0,0,,333,48,56,,48,96,,5,73,
Chiapilla,Chiapas,lujan-informes,1774,-92.72,16.568889,1356,1387,2000043,Guanajuato,Nucleo,1774,1774,Chiapaneca,Chiapilla,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Pedro Chiapilla,None,None,San Pedro,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",38,,19,0,19,0,0,,,,,,,,,,38,7,9,,7,6,,1,8,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,38,7,9,,7,6,,1,8,
Chicoacan,Chiapas,lujan-informes,1774,-93.419167,17.1225,1357,1388,2000044,Guanajuato,Nucleo,1774,1774,Zoque,Chicoacan,Tuxtla,Chiapas,Pueblo de indios,Mexico,Chicoacan,None,None,None,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",93,,46,0,46,0,0,,,,,,,,,,93,12,24,,13,33,,2,9,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,93,12,24,,13,33,,2,9,
Chicuazen,Chiapas,lujan-informes,1774,-93.104722,16.965278,1358,1389,2000045,Guanajuato,Nucleo,1774,1774,Zoque,Chicoasen,Tuxtla,Chiapas,Pueblo de indios,Mexico,Chicoasen,None,None,None,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",65,,32.5,0,32.5,0,0,,,,,,,,,,65,15,10,,15,15,,4,6,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,65,15,10,,15,15,,4,6,
Chiquimucelo,Chiapas,lujan-informes,1774,-92.285,15.741667,1359,1390,2000046,Guanajuato,Nucleo,1774,1774,,Chicomuselo,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Pedro Chicomuselo,Chiquimuselo,None,San Pedro,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",61,,30.5,0,30.5,0,0,,,,,,,,,,61,12,15,,12,12,,3,7,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,61,12,15,,12,12,,3,7,
Santo Domingo Chilum,Chiapas,lujan-informes,1774,-92.272778,17.103889,1361,1392,2000047,Guanajuato,Nucleo,1774,1774,,Chilon,Ciudad Real,Chiapas,Pueblo de indios,Mexico,Santo Domingo Chilon,Chilum|,None,Santo Domingo,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",33,,16,0,16,1,1,,,,,,,,,,32,6,8,,6,12,,0,0,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,1,0,0,,0,0,,0,0,,33,6,8,,6,12,,0,0,
Cintalapa,Chiapas,lujan-informes,1774,-93.721667,16.695,1363,1394,2000048,Guanajuato,Nucleo,1774,1774,Zoque,Cintalapa,Tuxtla,Chiapas,Pueblo de indios,Mexico,Santo Domingo Cintalapa,None,None,Santo Domingo,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",156,,28,50,78,0,0,,,,,,,,,,56,10,14,,10,12,,4,6,,0,,,,,,,,,,100,0,0,,0,0,,40,60,,0,,,,,,,,,,,,,,,,,,,,100,0,0,,0,0,,40,60,,100,0,0,,0,0,,40,60,,156,10,14,,10,12,,44,66,
Magdalena,Chiapas,lujan-informes,1774,-93.253611,17.312778,1364,1395,2000049,Guanajuato,Nucleo,1774,1774,Zoque,Magdalena,Tuxtla,Chiapas,Pueblo de indios,Mexico,Magdalena Coalpitam,None,Francisco Leon,Magdalena,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",373,,186,0,186,1,1,,,,,,,,,,372,49,110,,49,119,,11,34,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,1,0,0,,0,0,,0,0,,373,49,110,,49,119,,11,34,
Coapilla,Chiapas,lujan-informes,1774,-93.158333,17.130556,1366,1397,2000050,Guanajuato,Nucleo,1774,1774,Zoque,Coapilla,Tuxtla,Chiapas,Pueblo de indios,Mexico,Candelaria Coapilla,None,None,Candelaria,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",25,,12.5,0,12.5,0,0,,,,,,,,,,25,5,5,,5,7,,1,2,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,25,5,5,,5,7,,1,2,
Copainala,Chiapas,lujan-informes,1774,-93.210556,17.093611,1367,1398,2000053,Guanajuato,Nucleo,1774,1774,Zoque,Copainala,Tuxtla,Chiapas,Pueblo de indios,Mexico,San Miguel Copainala,None,None,San Miguel,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",698,,326,0,326,1,1,,,,,,,,,,651,73,155,,72,196,,65,90,,0,,,,,,,,,,46,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,46,0,0,,0,0,,0,0,,47,0,0,,0,0,,0,0,,698,73,155,,72,196,,65,90,
Isquitenango,Chiapas,lujan-informes,1774,-91.986389,15.862778,1369,1400,2000054,Guanajuato,Nucleo,1774,1774,,Escuintenango,Ciudad Real,Chiapas,Pueblo de indios,Mexico,Santiago Escuintenango,None,None,Santiago,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",52,,26,0,26,0,0,,,,,,,,,,52,9,15,,9,12,,2,5,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,52,9,15,,9,12,,2,5,
Guaquitepeque,Chiapas,lujan-informes,1774,-92.288056,16.98,1370,1401,2000055,Guanajuato,Nucleo,1774,1774,,Guaquitepec,Ciudad Real,Chiapas,Pueblo de indios,Mexico,Natividad Guaquitepec,None,None,Natividad,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",184,,91.5,0,91.5,1,1,,,,,,,,,,183,50,25,,50,30,,10,18,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,1,0,0,,0,0,,0,0,,184,50,25,,50,30,,10,18,
San Pedro Huitiupan,Chiapas,lujan-informes,1774,-92.676389,17.185833,1373,1406,2000059,Guanajuato,Nucleo,1774,1774,Tzotzil,San Pedro Huitiupan,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Pedro Huitiupan,Gueitiupan|,None,None,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",111,,55.5,0,55.5,0,0,,,,,,,,,,111,22,20,,22,20,,7,20,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,111,22,20,,22,20,,7,20,
Istapa,Chiapas,lujan-informes,1774,-92.904444,16.802778,1374,1407,2000063,Guanajuato,Nucleo,1774,1774,Tzotzil,Ixtapa,Tuxtla,Chiapas,Pueblo de indios,Mexico,Ixtapa,Istapa|,None,None,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",41,,20,0,20,1,1,,,,,,,,,,40,7,7,,7,12,,2,5,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,1,0,0,,0,0,,0,0,,41,7,7,,7,12,,2,5,
Istapangajoya,Chiapas,lujan-informes,1774,-93.002222,17.495833,1376,1409,2000064,Guanajuato,Nucleo,1774,1774,Zoque,Ixtapangajoya,Tuxtla,Chiapas,Pueblo de indios,Mexico,Ixtapangajoya,None,None,None,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",77,,38.5,0,38.5,0,0,,,,,,,,,,77,20,10,,20,12,,6,9,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,77,20,10,,20,12,,6,9,
Xitotol,Chiapas,lujan-informes,1774,-92.860833,17.067222,1377,1410,2000065,Guanajuato,Nucleo,1774,1774,Zoque,Jitotol,Tuxtla,Chiapas,Pueblo de indios,Mexico,Jitotol,Xitotol|,None,None,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",105,,52,0,52,1,1,,,,,,,,,,104,18,22,,18,26,,7,13,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,1,0,0,,0,0,,0,0,,105,18,22,,18,26,,7,13,
Magdalena Tenezcatlan,Chiapas,lujan-informes,1774,-92.688056,16.9175,1379,1412,2000066,Guanajuato,Nucleo,1774,1774,Tzotzil,Magdalena,Ciudad Real,Chiapas,Pueblo de indios,Mexico,Magdalena,None,Aldama,None,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",77,,38.5,0,38.5,0,0,,,,,,,,,,77,15,14,,15,18,,6,9,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,77,15,14,,15,18,,6,9,
San Miguel Micontic,Chiapas,lujan-informes,1774,-92.63,16.861944,1380,1413,2000070,Guanajuato,Nucleo,1774,1774,Tzotzil,Mitontic,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Miguel Mitontic,None,None,San Miguel,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",103,,51,0,51,0,0,,,,,,,,,,103,34,6,,35,9,,6,13,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,103,34,6,,35,9,,6,13,
Moyos,Chiapas,lujan-informes,1774,-92.638889,17.3575,1381,1414,2000071,Guanajuato,Nucleo,1774,1774,Tzotzil,Moyos,Ciudad Real,Chiapas,Pueblo de indios,Mexico,Moyos,None,None,None,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",171,,85.5,0,85.5,0,0,,,,,,,,,,171,39,20,,39,26,,7,40,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,171,39,20,,39,26,,7,40,
Nicapa,Chiapas,lujan-informes,1774,-93.210278,17.423056,1382,1415,2000072,Guanajuato,Nucleo,1774,1774,Zoque,Nicapa,Tuxtla,Chiapas,Pueblo de indios,Mexico,Nicapa,None,None,None,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",119,,59,0.5,59.5,0,0,,,,,,,,,,118,24,15,,24,18,,8,29,,0,,,,,,,,,,1,0,0,,0,0,,1,0,,0,,,,,,,,,,,,,,,,,,,,1,0,0,,0,0,,1,0,,1,0,0,,0,0,,1,0,,119,24,15,,24,18,,9,29,
Ocotepeque,Chiapas,lujan-informes,1774,-93.164444,17.223889,1383,1416,2000073,Guanajuato,Nucleo,1774,1774,Zoque,Ocotepec,Tuxtla,Chiapas,Pueblo de indios,Mexico,San Marcos Ocotepec,None,None,San Marcos,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",44,,22,0,22,0,0,,,,,,,,,,44,14,5,,14,8,,1,2,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,44,14,5,,14,8,,1,2,
Ocosucutla,Chiapas,lujan-informes,1774,-93.375,16.7625,1384,1417,2000074,Guanajuato,Nucleo,1774,1774,Zoque,Ocozocoautla,Tuxtla,Chiapas,Pueblo de indios,Mexico,San Juan Ocozocoautla,Ocosucotla|,None,San Juan,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",348,,173,0,173,1,1,,,,,,,,,,347,93,50,,94,60,,9,41,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,1,0,0,,0,0,,0,0,,348,93,50,,94,60,,9,41,
Ostuacan,Chiapas,lujan-informes,1774,-93.336667,17.405556,1386,1419,2000075,Guanajuato,Nucleo,1774,1774,Zoque,Ostuacan,Tuxtla,Chiapas,Pueblo de indios,Mexico,Ostuacan,None,None,None,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",207,,103.5,0,103.5,0,0,,,,,,,,,,207,30,54,,30,68,,6,19,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,207,30,54,,30,68,,6,19,
Osumacintla,Chiapas,lujan-informes,1774,-93.093056,16.940278,1387,1420,2000076,Guanajuato,Nucleo,1774,1774,Zoque,Osumacinta,Tuxtla,Chiapas,Pueblo de indios,Mexico,Osumacinta,None,None,None,7,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",41,,20.5,0,20.5,0,0,,,,,,,,,,41,10,7,,10,10,,1,3,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,41,10,7,,10,10,,1,3,
Santo Domingo Oxchuc,Chiapas,lujan-informes,1774,-92.343333,16.786111,1388,1421,2000077,Guanajuato,Nucleo,1774,1774,,Oxchuc,Ciudad Real,Chiapas,Pueblo de indios,Mexico,Santo Domingo Oxchuc,None,None,Santo Domingo,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",852,,155,270,425,2,2,,,,,,,,,,310,50,40,,50,60,,50,60,,0,,,,,,,,,,540,150,100,,150,140,,0,0,,0,,,,,,,,,,,,,,,,,,,,540,150,100,,150,140,,0,0,,542,150,100,,150,140,,0,0,,852,200,140,,200,200,,50,60,
