Year,FertilityRatio,Series
1550.897171,0.373244526,Moderate Simulation
1551.572738,0.36841927,Moderate Simulation
1551.920987,0.362213574,Moderate Simulation
1552.922919,0.359113581,Moderate Simulation
1554.569017,0.362567533,Moderate Simulation
1555.885896,0.365330695,Moderate Simulation
1557.201823,0.36843868,Moderate Simulation
1558.01726,0.372924251,Moderate Simulation
1558.688069,0.369823116,Moderate Simulation
1559.191414,0.367411058,Moderate Simulation
1559.846047,0.370171936,Moderate Simulation
1560.163849,0.375000618,Moderate Simulation
1560.805161,0.382589037,Moderate Simulation
1561.611083,0.39052285,Moderate Simulation
1561.767129,0.393971664,Moderate Simulation
1563.221024,0.407080126,Moderate Simulation
1564.030753,0.413634642,Moderate Simulation
1566.010828,0.416055263,Moderate Simulation
1566.687346,0.410885182,Moderate Simulation
1567.023226,0.409162203,Moderate Simulation
1568.012788,0.410544925,Moderate Simulation
1569.488568,0.415722428,Moderate Simulation
1570.308762,0.418483877,Moderate Simulation
1571.292615,0.421935545,Moderate Simulation
1571.951055,0.423317126,Moderate Simulation
1573.288866,0.418494153,Moderate Simulation
1573.79126,0.41642692,Moderate Simulation
1574.94448,0.418499862,Moderate Simulation
1575.94546,0.415744693,Moderate Simulation
1576.78183,0.412644129,Moderate Simulation
1578.092048,0.417821061,Moderate Simulation
1580.050239,0.428172641,Moderate Simulation
1582.035072,0.42886914,Moderate Simulation
1582.859073,0.430251292,Moderate Simulation
1585.017079,0.428189768,Moderate Simulation
1585.681228,0.427502403,Moderate Simulation
1586.996204,0.430955213,Moderate Simulation
1587.996232,0.428544868,Moderate Simulation
1588.995309,0.426479348,Moderate Simulation
1590.311236,0.429587334,Moderate Simulation
1590.992512,0.422693131,Moderate Simulation
1591.00393,0.418555239,Moderate Simulation
1592.319857,0.421663225,Moderate Simulation
1593.470223,0.42477064,Moderate Simulation
1594.289466,0.427876914,Moderate Simulation
1594.93173,0.435120508,Moderate Simulation
1595.578751,0.44063998,Moderate Simulation
1596.067823,0.443400287,Moderate Simulation
1598.369506,0.449270293,Moderate Simulation
1599.68353,0.453067928,Moderate Simulation
1600.826284,0.458933937,Moderate Simulation
1600.986137,0.461003454,Moderate Simulation
1601.834876,0.453420174,Moderate Simulation
1602.181223,0.447904127,Moderate Simulation
1603.009981,0.447562157,Moderate Simulation
1603.664615,0.450323035,Moderate Simulation
1604.148929,0.454807464,Moderate Simulation
1604.99196,0.449293129,Moderate Simulation
1605.662769,0.446191994,Moderate Simulation
1606.989162,0.445506913,Moderate Simulation
1608.148092,0.445510909,Moderate Simulation
1610.133876,0.445862584,Moderate Simulation
1611.272824,0.453107891,Moderate Simulation
1612.248114,0.459662978,Moderate Simulation
1612.734331,0.463457758,Moderate Simulation
1613.890406,0.464496227,Moderate Simulation
1614.704892,0.469326622,Moderate Simulation
1615.380458,0.464501365,Moderate Simulation
1615.885706,0.461399659,Moderate Simulation
1616.056976,0.459331284,Moderate Simulation
1618.374835,0.459339277,Moderate Simulation
1619.033274,0.460720858,Moderate Simulation
1620.694596,0.458657621,Moderate Simulation
1623.02197,0.455217371,Moderate Simulation
1624.354073,0.452463343,Moderate Simulation
1510.164324,0.434828206,Mild Simulation
1513.15204,0.432079888,Mild Simulation
1518.795399,0.426926934,Mild Simulation
1519.112249,0.432100441,Mild Simulation
1519.586097,0.440377937,Mild Simulation
1520.065654,0.446586487,Mild Simulation
1520.537599,0.455553631,Mild Simulation
1520.696499,0.457967972,Mild Simulation
1521.858283,0.456937496,Mild Simulation
1524.182803,0.454531718,Mild Simulation
1526.175248,0.452469623,Mild Simulation
1527.835619,0.450751211,Mild Simulation
1528.665328,0.450064417,Mild Simulation
1529.337089,0.446618457,Mild Simulation
1529.67392,0.444550653,Mild Simulation
1530.841413,0.441451231,Mild Simulation
1531.682541,0.436626545,Mild Simulation
1532.526523,0.430767386,Mild Simulation
1532.868112,0.426975461,Mild Simulation
1533.379069,0.421804809,Mild Simulation
1533.723513,0.41697841,Mild Simulation
1534.234469,0.411807759,Mild Simulation
1534.915745,0.404913556,Mild Simulation
1535.420041,0.402156674,Mild Simulation
1536.740725,0.403540539,Mild Simulation
1537.057575,0.408714045,Mild Simulation
1537.208864,0.413886981,Mild Simulation
1537.362056,0.418370267,Mild Simulation
1537.847322,0.422509872,Mild Simulation
1538.001465,0.426648334,Mild Simulation
1538.480071,0.433201709,Mild Simulation
1538.468653,0.437339601,Mild Simulation
1538.781697,0.443892404,Mild Simulation
1539.10045,0.448376262,Mild Simulation
1540.103333,0.444931444,Mild Simulation
1540.941606,0.441141231,Mild Simulation
1541.778928,0.437695843,Mild Simulation
1542.61625,0.434250454,Mild Simulation
1543.621036,0.430115988,Mild Simulation
1544.292796,0.426670029,Mild Simulation
1544.798995,0.423223498,Mild Simulation
1545.114894,0.428741829,Mild Simulation
1545.592548,0.435640028,Mild Simulation
1545.749546,0.438744017,Mild Simulation
1546.2272,0.445642216,Mild Simulation
1546.548807,0.449091601,Mild Simulation
1546.707708,0.451505942,Mild Simulation
1547.216762,0.447024939,Mild Simulation
1547.729621,0.441164638,Mild Simulation
1548.073113,0.436683064,Mild Simulation
1548.415654,0.432546314,Mild Simulation
1548.928514,0.426686014,Mild Simulation
1549.269151,0.423238913,Mild Simulation
1549.954233,0.414965413,Mild Simulation
1550.637411,0.407381562,Mild Simulation
1551.154077,0.400141964,Mild Simulation
1551.833449,0.39393741,Mild Simulation
1552.339648,0.39049088,Mild Simulation
1552.845847,0.38704435,Mild Simulation
1554.673682,0.384636859,Mild Simulation
1555.664196,0.385674758,Mild Simulation
1556.152316,0.388779889,Mild Simulation
1556.803144,0.392920064,Mild Simulation
1557.126654,0.395679801,Mild Simulation
1557.448262,0.399129185,Mild Simulation
1557.768918,0.402923395,Mild Simulation
