Name,Year,Age,Status,AgeStatus,T,M,F
Durango,1790,25_39,Viudos,Viudos_25_39,3148,1070,2078
Durango,1790,40_49,Viudos,Viudos_40_49,1403,258,1145
Durango,1790,50_up,Viudos,Viudos_50_up,3237,640,2597
Guadalajara,1790,Total,Pop,Pop_Total,505428,235075,270353
Guadalajara,1790,0_6,Pop,Pop_0_6,71468,42001,29467
Guadalajara,1790,7_15,Pop,Pop_7_15,95729,43265,52464
Guadalajara,1790,16_24,Pop,Pop_16_24,121859,54738,67121
Guadalajara,1790,25_39,Pop,Pop_25_39,138185,59894,78291
Guadalajara,1790,40_49,Pop,Pop_40_49,47509,22441,25068
Guadalajara,1790,50_up,Pop,Pop_50_up,30678,12736,17942
Guadalajara,1790,Total,Solteros,Solteros_Total,308109,151325,156784
Guadalajara,1790,0_6,Solteros,Solteros_0_6,71468,42001,29467
Guadalajara,1790,7_15,Solteros,Solteros_7_15,80010,40434,39576
Guadalajara,1790,16_24,Solteros,Solteros_16_24,66160,31387,34773
Guadalajara,1790,25_39,Solteros,Solteros_25_39,52970,18904,34066
Guadalajara,1790,40_49,Solteros,Solteros_40_49,24007,13040,10967
Guadalajara,1790,50_up,Solteros,Solteros_50_up,13494,5559,7935
Guadalajara,1790,Total,Casados,Casados_Total,169016,78949,90067
Guadalajara,1790,0_6,Casados,Casados_0_6,0,0,0
Guadalajara,1790,7_15,Casados,Casados_7_15,15719,2831,12888
Guadalajara,1790,16_24,Casados,Casados_16_24,42558,21279,21279
Guadalajara,1790,25_39,Casados,Casados_25_39,80313,40131,40182
Guadalajara,1790,40_49,Casados,Casados_40_49,16881,8137,8744
Guadalajara,1790,50_up,Casados,Casados_50_up,13545,6571,6974
Guadalajara,1790,Total,Viudos,Viudos_Total,28303,4801,23502
Guadalajara,1790,0_6,Viudos,Viudos_0_6,0,0,0
Guadalajara,1790,7_15,Viudos,Viudos_7_15,0,0,0
Guadalajara,1790,16_24,Viudos,Viudos_16_24,13141,2072,11069
Guadalajara,1790,25_39,Viudos,Viudos_25_39,4902,859,4043
Guadalajara,1790,40_49,Viudos,Viudos_40_49,6621,1264,5357
Guadalajara,1790,50_up,Viudos,Viudos_50_up,3639,606,3033
Guanajuato (no ciudad),1790,Total,Pop,Pop_Total,398029,199933,198096
Guanajuato (no ciudad),1790,0_6,Pop,Pop_0_6,91402,45745,45657
Guanajuato (no ciudad),1790,7_15,Pop,Pop_7_15,101630,50325,51305
Guanajuato (no ciudad),1790,16_24,Pop,Pop_16_24,57541,28703,28838
Guanajuato (no ciudad),1790,25_39,Pop,Pop_25_39,74128,37198,36930
Guanajuato (no ciudad),1790,40_49,Pop,Pop_40_49,40124,20512,19612
Guanajuato (no ciudad),1790,50_up,Pop,Pop_50_up,33204,17450,15754
Guanajuato (no ciudad),1790,Total,Solteros,Solteros_Total,231136,116213,114923
Guanajuato (no ciudad),1790,0_6,Solteros,Solteros_0_6,91402,45745,45657
