Name,Year,Age,Status,AgeStatus,T,M,F
Puebla,1790,25_39,Solteros,Solteros_25_39,13924,6982,6942
Puebla,1790,40_49,Solteros,Solteros_40_49,10285,6681,3604
Puebla,1790,50_up,Solteros,Solteros_50_up,5166,1187,3979
Puebla,1790,Total,Casados,Casados_Total,208665,109953,98712
Puebla,1790,0_6,Casados,Casados_0_6,0,0,0
Puebla,1790,7_15,Casados,Casados_7_15,2452,902,1550
Puebla,1790,16_24,Casados,Casados_16_24,37131,14645,22486
Puebla,1790,25_39,Casados,Casados_25_39,97574,48731,48843
Puebla,1790,40_49,Casados,Casados_40_49,35706,19803,15903
Puebla,1790,50_up,Casados,Casados_50_up,35802,25872,9930
Puebla,1790,Total,Viudos,Viudos_Total,43994,11315,32679
Puebla,1790,0_6,Viudos,Viudos_0_6,0,0,0
Puebla,1790,7_15,Viudos,Viudos_7_15,342,57,285
Puebla,1790,16_24,Viudos,Viudos_16_24,1894,1126,768
Puebla,1790,25_39,Viudos,Viudos_25_39,8159,1689,6470
Puebla,1790,40_49,Viudos,Viudos_40_49,11193,2422,8771
Puebla,1790,50_up,Viudos,Viudos_50_up,22406,6021,16385
San Luis Potosi,1790,Total,Pop,Pop_Total,242280,124944,117336
San Luis Potosi,1790,0_6,Pop,Pop_0_6,54901,28468,26433
San Luis Potosi,1790,7_15,Pop,Pop_7_15,50951,27328,23623
San Luis Potosi,1790,16_24,Pop,Pop_16_24,44967,21854,23113
San Luis Potosi,1790,25_39,Pop,Pop_25_39,52938,27523,25415
San Luis Potosi,1790,40_49,Pop,Pop_40_49,20909,10758,10151
San Luis Potosi,1790,50_up,Pop,Pop_50_up,17614,9013,8601
San Luis Potosi,1790,Total,Solteros,Solteros_Total,131194,71570,59624
San Luis Potosi,1790,0_6,Solteros,Solteros_0_6,54901,28468,26433
San Luis Potosi,1790,7_15,Solteros,Solteros_7_15,44046,24688,19358
San Luis Potosi,1790,16_24,Solteros,Solteros_16_24,17831,10515,7316
San Luis Potosi,1790,25_39,Solteros,Solteros_25_39,7801,4797,3004
San Luis Potosi,1790,40_49,Solteros,Solteros_40_49,3223,1648,1575
San Luis Potosi,1790,50_up,Solteros,Solteros_50_up,3392,1454,1938
San Luis Potosi,1790,Total,Casados,Casados_Total,98875,50176,48699
San Luis Potosi,1790,0_6,Casados,Casados_0_6,0,0,0
San Luis Potosi,1790,7_15,Casados,Casados_7_15,6275,2495,3780
San Luis Potosi,1790,16_24,Casados,Casados_16_24,25271,10564,14707
San Luis Potosi,1790,25_39,Casados,Casados_25_39,41478,21805,19673
San Luis Potosi,1790,40_49,Casados,Casados_40_49,15021,8407,6614
San Luis Potosi,1790,50_up,Casados,Casados_50_up,10830,6905,3925
San Luis Potosi,1790,Total,Viudos,Viudos_Total,12211,3198,9013
San Luis Potosi,1790,0_6,Viudos,Viudos_0_6,0,0,0
San Luis Potosi,1790,7_15,Viudos,Viudos_7_15,630,145,485
San Luis Potosi,1790,16_24,Viudos,Viudos_16_24,1865,775,1090
San Luis Potosi,1790,25_39,Viudos,Viudos_25_39,3659,921,2738
San Luis Potosi,1790,40_49,Viudos,Viudos_40_49,2665,703,1962
San Luis Potosi,1790,50_up,Viudos,Viudos_50_up,3392,654,2738
Sinaloa,1790,Total,Pop,Pop_Total,55062,27772,27290
Sinaloa,1790,0_6,Pop,Pop_0_6,11538,6104,5434
Sinaloa,1790,7_15,Pop,Pop_7_15,12508,6636,5872
Sinaloa,1790,16_24,Pop,Pop_16_24,8681,3838,4843
Sinaloa,1790,25_39,Pop,Pop_25_39,12633,6098,6535
Sinaloa,1790,40_49,Pop,Pop_40_49,5344,2772,2572
Sinaloa,1790,50_up,Pop,Pop_50_up,4358,2324,2034
Sinaloa,1790,Total,Solteros,Solteros_Total,32030,16724,15306
Sinaloa,1790,0_6,Solteros,Solteros_0_6,11538,6104,5434
Sinaloa,1790,7_15,Solteros,Solteros_7_15,12371,6596,5775
Sinaloa,1790,16_24,Solteros,Solteros_16_24,4786,2373,2413
Sinaloa,1790,25_39,Solteros,Solteros_25_39,2267,1219,1048
Sinaloa,1790,40_49,Solteros,Solteros_40_49,486,256,230
Sinaloa,1790,50_up,Solteros,Solteros_50_up,582,176,406
Sinaloa,1790,Total,Casados,Casados_Total,20164,10082,10082
Sinaloa,1790,0_6,Casados,Casados_0_6,0,0,0
Sinaloa,1790,7_15,Casados,Casados_7_15,127,33,94
Sinaloa,1790,16_24,Casados,Casados_16_24,3807,1441,2366
Sinaloa,1790,25_39,Casados,Casados_25_39,9479,4575,4904
Sinaloa,1790,40_49,Casados,Casados_40_49,4075,2210,1865
Sinaloa,1790,50_up,Casados,Casados_50_up,2676,1823,853
Sinaloa,1790,Total,Viudos,Viudos_Total,2868,966,1902
Sinaloa,1790,0_6,Viudos,Viudos_0_6,0,0,0
Sinaloa,1790,7_15,Viudos,Viudos_7_15,10,7,3
Sinaloa,1790,16_24,Viudos,Viudos_16_24,88,24,64
Sinaloa,1790,25_39,Viudos,Viudos_25_39,887,304,583
Sinaloa,1790,40_49,Viudos,Viudos_40_49,783,306,477
Sinaloa,1790,50_up,Viudos,Viudos_50_up,1100,325,775
Sonora,1790,Total,Pop,Pop_Total,38305,20473,17832
Sonora,1790,0_6,Pop,Pop_0_6,9296,4948,4348
Sonora,1790,7_15,Pop,Pop_7_15,8648,5048,3600
Sonora,1790,16_24,Pop,Pop_16_24,6703,3132,3571
Sonora,1790,25_39,Pop,Pop_25_39,8105,4297,3808
Sonora,1790,40_49,Pop,Pop_40_49,3103,1691,1412
Sonora,1790,50_up,Pop,Pop_50_up,2450,1357,1093
Sonora,1790,Total,Solteros,Solteros_Total,19815,11434,8381
Sonora,1790,0_6,Solteros,Solteros_0_6,9296,4948,4348
Sonora,1790,7_15,Solteros,Solteros_7_15,7879,4784,3095
Sonora,1790,16_24,Solteros,Solteros_16_24,1828,1163,665
Sonora,1790,25_39,Solteros,Solteros_25_39,615,412,203
Sonora,1790,40_49,Solteros,Solteros_40_49,108,71,37
Sonora,1790,50_up,Solteros,Solteros_50_up,89,56,33
Sonora,1790,Total,Casados,Casados_Total,16600,8300,8300
Sonora,1790,0_6,Casados,Casados_0_6,0,0,0
Sonora,1790,7_15,Casados,Casados_7_15,767,263,504
Sonora,1790,16_24,Casados,Casados_16_24,4742,1912,2830
Sonora,1790,25_39,Casados,Casados_25_39,6924,3642,3282
Sonora,1790,40_49,Casados,Casados_40_49,2529,1442,1087
Sonora,1790,50_up,Casados,Casados_50_up,1638,1041,597
Sonora,1790,Total,Viudos,Viudos_Total,1890,739,1151
Sonora,1790,0_6,Viudos,Viudos_0_6,0,0,0
Sonora,1790,7_15,Viudos,Viudos_7_15,2,1,1
Sonora,1790,16_24,Viudos,Viudos_16_24,133,57,76
Sonora,1790,25_39,Viudos,Viudos_25_39,566,243,323
Sonora,1790,40_49,Viudos,Viudos_40_49,466,178,288
Sonora,1790,50_up,Viudos,Viudos_50_up,723,260,463
Tlaxcala,1790,Total,Pop,Pop_Total,59148,29997,29151
Tlaxcala,1790,0_6,Pop,Pop_0_6,12841,6707,6134
Tlaxcala,1790,7_15,Pop,Pop_7_15,12601,6483,6118
Tlaxcala,1790,16_24,Pop,Pop_16_24,10632,5226,5406
Tlaxcala,1790,25_39,Pop,Pop_25_39,13713,6628,7085
Tlaxcala,1790,40_49,Pop,Pop_40_49,4868,2505,2363
Tlaxcala,1790,50_up,Pop,Pop_50_up,4493,2448,2045
Tlaxcala,1790,Total,Solteros,Solteros_Total,30653,15749,14904
Tlaxcala,1790,0_6,Solteros,Solteros_0_6,12841,6707,6134
Tlaxcala,1790,7_15,Solteros,Solteros_7_15,11820,6003,5817
Tlaxcala,1790,16_24,Solteros,Solteros_16_24,3711,1894,1817
Tlaxcala,1790,25_39,Solteros,Solteros_25_39,1352,687,665
Tlaxcala,1790,40_49,Solteros,Solteros_40_49,776,384,392
Tlaxcala,1790,50_up,Solteros,Solteros_50_up,153,74,79
Tlaxcala,1790,Total,Casados,Casados_Total,25714,12854,12860
Tlaxcala,1790,0_6,Casados,Casados_0_6,0,0,0
Tlaxcala,1790,7_15,Casados,Casados_7_15,781,480,301
Tlaxcala,1790,16_24,Casados,Casados_16_24,6473,3193,3280
Tlaxcala,1790,25_39,Casados,Casados_25_39,11288,5512,5776
Tlaxcala,1790,40_49,Casados,Casados_40_49,3320,1679,1641
Tlaxcala,1790,50_up,Casados,Casados_50_up,3852,1990,1862
Tlaxcala,1790,Total,Viudos,Viudos_Total,2781,1394,1387
Tlaxcala,1790,0_6,Viudos,Viudos_0_6,0,0,0
Tlaxcala,1790,7_15,Viudos,Viudos_7_15,0,0,0
Tlaxcala,1790,16_24,Viudos,Viudos_16_24,448,139,309
Tlaxcala,1790,25_39,Viudos,Viudos_25_39,1073,429,644
Tlaxcala,1790,40_49,Viudos,Viudos_40_49,772,442,330
Tlaxcala,1790,50_up,Viudos,Viudos_50_up,488,384,104
Veracruz,1790,Total,Pop,Pop_Total,163539,85694,77845
Veracruz,1790,0_6,Pop,Pop_0_6,37287,20083,17204
Veracruz,1790,7_15,Pop,Pop_7_15,29486,15765,13721
Veracruz,1790,16_24,Pop,Pop_16_24,30140,14065,16075
Veracruz,1790,25_39,Pop,Pop_25_39,43354,22764,20590
Veracruz,1790,40_49,Pop,Pop_40_49,12773,6950,5823
Veracruz,1790,50_up,Pop,Pop_50_up,10499,6067,4432
Veracruz,1790,Total,Solteros,Solteros_Total,72318,40721,31597
Veracruz,1790,0_6,Solteros,Solteros_0_6,37287,20083,17204
Veracruz,1790,7_15,Solteros,Solteros_7_15,26183,15209,10974
Veracruz,1790,16_24,Solteros,Solteros_16_24,6492,4121,2371
Veracruz,1790,25_39,Solteros,Solteros_25_39,2012,1161,851
Veracruz,1790,40_49,Solteros,Solteros_40_49,229,98,131
Veracruz,1790,50_up,Solteros,Solteros_50_up,115,49,66
Veracruz,1790,Total,Casados,Casados_Total,83339,42765,40574
Veracruz,1790,0_6,Casados,Casados_0_6,0,0,0
Veracruz,1790,7_15,Casados,Casados_7_15,3238,556,2682
Veracruz,1790,16_24,Casados,Casados_16_24,22879,9649,13230
Veracruz,1790,25_39,Casados,Casados_25_39,38595,20851,17744
Veracruz,1790,40_49,Casados,Casados_40_49,10810,6345,4465
Veracruz,1790,50_up,Casados,Casados_50_up,7817,5364,2453
Veracruz,1790,Total,Viudos,Viudos_Total,7882,2208,5674
Veracruz,1790,0_6,Viudos,Viudos_0_6,0,0,0
Veracruz,1790,7_15,Viudos,Viudos_7_15,65,0,65
Veracruz,1790,16_24,Viudos,Viudos_16_24,769,295,474
Veracruz,1790,25_39,Viudos,Viudos_25_39,2747,752,1995
Veracruz,1790,40_49,Viudos,Viudos_40_49,1734,507,1227
Veracruz,1790,50_up,Viudos,Viudos_50_up,2567,654,1913
