Name,Year,Ages,T,M,F
Nueva España,1790,Pop_Total,4636074,2302600,2333474
Nueva España,1790,Pop_0_4,738908,390745,348163
Nueva España,1790,Pop_5_9,587935,311747,276188
Nueva España,1790,Pop_10_14,503589,250738,252851
Nueva España,1790,Pop_15_19,483182,231923,251259
Nueva España,1790,Pop_20_24,452517,206899,245618
Nueva España,1790,Pop_25_29,405467,188731,216736
Nueva España,1790,Pop_30_34,358899,173766,185133
Nueva España,1790,Pop_35_39,307173,148563,158610
Nueva España,1790,Pop_40_44,248443,127814,120629
Nueva España,1790,Pop_45_49,182585,87826,94759
Nueva España,1790,Pop_50_up,367376,183848,183528
Alta California,1790,Pop_Total,8540,4472,4068
Alta California,1790,Pop_0_4,1590,808,782
Alta California,1790,Pop_5_9,1292,701,591
Alta California,1790,Pop_10_14,941,531,410
Alta California,1790,Pop_15_19,981,552,429
Alta California,1790,Pop_20_24,847,446,401
Alta California,1790,Pop_25_29,766,404,362
Alta California,1790,Pop_30_34,624,319,305
Alta California,1790,Pop_35_39,444,234,210
Alta California,1790,Pop_40_44,330,149,181
Alta California,1790,Pop_45_49,249,106,143
Alta California,1790,Pop_50_up,476,222,254
Baja California,1790,Pop_Total,4076,2258,1818
Baja California,1790,Pop_0_4,571,292,279
Baja California,1790,Pop_5_9,481,250,231
Baja California,1790,Pop_10_14,392,217,175
Baja California,1790,Pop_15_19,372,193,179
Baja California,1790,Pop_20_24,311,160,151
Baja California,1790,Pop_25_29,313,174,139
Baja California,1790,Pop_30_34,283,155,128
Baja California,1790,Pop_35_39,254,142,112
Baja California,1790,Pop_40_44,275,155,120
Baja California,1790,Pop_45_49,226,146,80
Baja California,1790,Pop_50_up,598,374,224
Durango,1790,Pop_Total,125918,62844,63074
Durango,1790,Pop_0_4,18990,8669,10321
Durango,1790,Pop_5_9,16690,8525,8165
Durango,1790,Pop_10_14,14980,7369,7611
Durango,1790,Pop_15_19,15546,7658,7888
Durango,1790,Pop_20_24,13169,7080,6089
Durango,1790,Pop_25_29,12019,6068,5951
Durango,1790,Pop_30_34,8764,4335,4429
Durango,1790,Pop_35_39,6506,3323,3183
Durango,1790,Pop_40_44,5519,2890,2629
