Year,Population,Series
1520.667765,857379.5513,Mild Simulation
1521.133794,840308.8788,Mild Simulation
1523.760569,857212.1918,Mild Simulation
1526.850561,879772.2571,Mild Simulation
1527.314482,879747.1532,Mild Simulation
1525.460205,868483.8565,Mild Simulation
1529.326211,868274.6571,Mild Simulation
1531.496094,828384.5119,Mild Simulation
1533.352479,822602.2399,Mild Simulation
1534.280321,822552.0321,Mild Simulation
1535.207459,828183.6804,Mild Simulation
1536.751752,845145.5693,Mild Simulation
1537.373828,816702.8163,Mild Simulation
1538.308698,759834.0463,Mild Simulation
1538.93007,737073.1495,Mild Simulation
1540.631816,731299.2455,Mild Simulation
1543.10395,748210.9266,Mild Simulation
1544.959633,748110.5108,Mild Simulation
1544.031792,748160.7187,Mild Simulation
1545.430583,691266.8447,Mild Simulation
1546.058281,617369.242,Mild Simulation
1546.684574,554835.3517,Mild Simulation
1546.997369,526409.3346,Mild Simulation
1547.92521,526359.1268,Mild Simulation
1550.708734,526208.5032,Mild Simulation
1553.182978,526074.6156,Mild Simulation
1554.420099,526007.6718,Mild Simulation
1555.1933,525965.8319,Mild Simulation
1556.892234,542919.3528,Mild Simulation
1557.819372,548551.0011,Mild Simulation
1558.903259,537128.7129,Mild Simulation
1560.297833,514325.9762,Mild Simulation
1561.226377,508593.9121,Mild Simulation
1562.154218,508543.7043,Mild Simulation
1562.616733,519882.3128,Mild Simulation
1565.244914,525421.9134,Mild Simulation
1565.866286,502661.0166,Mild Simulation
1567.722672,496878.7447,Mild Simulation
1570.351555,496736.4891,Mild Simulation
1573.135079,496585.8655,Mild Simulation
1574.836122,496493.8177,Mild Simulation
1576.849256,473657.6092,Mild Simulation
1578.243829,450854.8725,Mild Simulation
1580.563433,450729.3529,Mild Simulation
1582.573755,450620.5692,Mild Simulation
1584.274798,450528.5214,Mild Simulation
1586.439761,450411.3697,Mild Simulation
1588.91541,438913.7697,Mild Simulation
1590,421809.6252,Mild Simulation
1591.082481,421751.0493,Mild Simulation
